facility,data,carrier,volume
EMG8,29/07/2026,J&T Slow,1
EMG8,29/07/2026,Loggi,1
EMN1,29/07/2026,Imile Fast,2
EMR1,29/07/2026,J&T Slow,2
EMR10,29/07/2026,Carvalima,2
EMR11,29/07/2026,Carvalima,1
EMR12,29/07/2026,J&T Slow,1
EMR13,29/07/2026,J&T Slow,1
EMR15,29/07/2026,Carvalima,6
EMR16,29/07/2026,J&T Slow,4
EMR3,29/07/2026,J&T Slow,3
EMR4,29/07/2026,J&T Slow,1
EMR5,29/07/2026,Carvalima,1
EMR5,29/07/2026,J&T Slow,1
EMR6,29/07/2026,J&T Slow,2
EMR7,29/07/2026,Carvalima,1
EMR7,29/07/2026,J&T Slow,2
EMR8,29/07/2026,Carvalima,3
EPA2,29/07/2026,J&T Fast,1
EPA4,29/07/2026,J&T Fast,1
EPA4,29/07/2026,J&T Slow,1
EPA5,29/07/2026,Carvalima,2
EPA9,29/07/2026,Imile Fast,1
EPE1,29/07/2026,J&T Fast,2
EPE1,29/07/2026,J&T Slow,5
EPE1,29/07/2026,Jad,1
EPE2,29/07/2026,J&T Slow,2
EPE3,29/07/2026,J&T Slow,1
EPE3,29/07/2026,Jad,2
EPR12,29/07/2026,Jad,1
EPR13,29/07/2026,Loggi,1
EPR6,29/07/2026,Loggi,1
EPR8,29/07/2026,J&T Slow,1
ERD2,29/07/2026,Carvalima,2
ERD3,29/07/2026,Carvalima,1
ERJ5,29/07/2026,Loggi,1
ERJ6,29/07/2026,Loggi,1
ERJ7,29/07/2026,Jad,1
ERJ7,29/07/2026,Loggi,1
ERN3,29/07/2026,J&T Slow,2
ERN3,29/07/2026,Loggi,1
ERN4,29/07/2026,Loggi,1
ERS10,29/07/2026,J&T Slow,1
ERS10,29/07/2026,Loggi,1
ERS5,29/07/2026,Loggi,1
ERS8,29/07/2026,Dominalog,1
ERS8,29/07/2026,J&T Slow,1
ERS9,29/07/2026,J&T Slow,1
ESC14,29/07/2026,J&T Slow,1
ESC15,29/07/2026,J&T Slow,9
ESC2,29/07/2026,J&T Slow,3
ESC2,29/07/2026,Loggi,3
ESC6,29/07/2026,J&T Slow,48
ESC7,29/07/2026,Loggi,1
ESE1,29/07/2026,Jad,1
ETO4,29/07/2026,J&T Fast,5
ETO4,29/07/2026,J&T Slow,9
ETO7,29/07/2026,J&T Slow,1
SAL1,29/07/2026,J&T Slow,7
SAL1,29/07/2026,Jad,1
SAM1,29/07/2026,Imile Fast,88
SAM1,29/07/2026,Imile Slow,2
SAM1,29/07/2026,J&T Fast,4
SAM1,29/07/2026,J&T Slow,1
SAM1,29/07/2026,Jad,15
SAM1,29/07/2026,Loggi,6
SBA1,29/07/2026,J&T Slow,7
SBA1,29/07/2026,Jad,2
SBA2,29/07/2026,J&T Fast,1
SBA2,29/07/2026,J&T Slow,2
SBA2,29/07/2026,Jad,1
SBA2,29/07/2026,Loggi,1
SBA4,29/07/2026,Dominalog,1
SBA4,29/07/2026,Jad,1
SBA4,29/07/2026,Loggi,1
SCE1,29/07/2026,Jad,3
SCE1,29/07/2026,Loggi,1
SC_ZS,29/07/2026,J&T Slow,1
SC_ZS,29/07/2026,Loggi,1
SDF1,29/07/2026,J&T Nodos,1
SDF1,29/07/2026,J&T Slow,1
SDF2,29/07/2026,J&T Slow,1
SES1,29/07/2026,J&T Slow,4
SES3,29/07/2026,Loggi,1
SGO3,29/07/2026,Loggi,1
SJP1,29/07/2026,J&T Fast,2
SMG1,29/07/2026,Dominalog,1
SMG1,29/07/2026,Loggi,2
SMG12,29/07/2026,J&T Slow,3
SMG12,29/07/2026,Jad,1
SMG13,29/07/2026,J&T Slow,1
SMG4,29/07/2026,Loggi,1
SMN1,29/07/2026,Loggi,1
SMR1,29/07/2026,Carvalima,4
SMR1,29/07/2026,J&T Nodos,1
SMR2,29/07/2026,J&T Slow,6
SPA1,29/07/2026,Carvalima,1
SPA1,29/07/2026,Imile Fast,3
SPA1,29/07/2026,J&T Fast,1
SPE1,29/07/2026,Dominalog,1
SPE1,29/07/2026,J&T Fast,1
SPE1,29/07/2026,J&T Slow,6
SPE1,29/07/2026,Jad,3
SPE1,29/07/2026,Loggi,2
SPR11,29/07/2026,Dominalog,1
SPR8,29/07/2026,Dominalog,1
SPR8,29/07/2026,Loggi,3
SRD1,29/07/2026,Imile Fast,1
SRJ1,29/07/2026,J&T Slow,1
SRJ2,29/07/2026,Loggi,1
SRJ3,29/07/2026,Jad,1
SRJ3,29/07/2026,Loggi,1
SRJ6,29/07/2026,J&T Slow,270
SRJ8,29/07/2026,J&T Slow,6
SRJ8,29/07/2026,Loggi,1
SRJ9,29/07/2026,Loggi,1
SRN1,29/07/2026,J&T Fast,1
SRN1,29/07/2026,Jad,1
SRS10,29/07/2026,J&T Slow,2
SRS2,29/07/2026,Dominalog,1
SRS7,29/07/2026,Dominalog,1
SRS8,29/07/2026,Loggi,1
SRS9,29/07/2026,J&T Slow,4
SRS9,29/07/2026,Loggi,1
SSC1,29/07/2026,J&T Slow,1
SSC2,29/07/2026,J&T Slow,1
SSC3,29/07/2026,J&T Slow,1
SSC4,29/07/2026,Jad,1
SSC7,29/07/2026,Loggi,2
SSC9,29/07/2026,Loggi,1
SSE1,29/07/2026,J&T Fast,4
SSE1,29/07/2026,J&T Slow,6
SSE1,29/07/2026,Jad,2
SSP10,29/07/2026,J&T Slow,1
SSP12,29/07/2026,Loggi,1
SSP13,29/07/2026,Loggi,2
SSP18,29/07/2026,J&T Fast,1
SSP18,29/07/2026,J&T Slow,3
SSP18,29/07/2026,Jad,1
SSP20,29/07/2026,Loggi,1
SSP22,29/07/2026,J&T Slow,1
SSP24,29/07/2026,Loggi,2
SSP29,29/07/2026,Jad,1
SSP3,29/07/2026,J&T Slow,8
SSP3,29/07/2026,Loggi,2
SSP30,29/07/2026,J&T Slow,1
SSP36,29/07/2026,J&T Slow,19
SSP37,29/07/2026,Loggi,1
SSP38,29/07/2026,Loggi,1
SSP39,29/07/2026,Jad,1
SSP4,29/07/2026,Loggi,1
SSP40,29/07/2026,Dominalog,1
SSP48,29/07/2026,Dominalog,1
SSP51,29/07/2026,Dominalog,1
SSP51,29/07/2026,J&T Slow,1
SSP52,29/07/2026,J&T Slow,2
SSP52,29/07/2026,Loggi,1
SSP7,29/07/2026,J&T Slow,1
SSP7,29/07/2026,Loggi,1
SSP8,29/07/2026,Dominalog,1
STO2,29/07/2026,Loggi,1
XMG1,29/07/2026,J&T Fast,474
XMG1,29/07/2026,J&T Slow,12513
XSP4,29/07/2026,J&T Slow,10613
XSP4,29/07/2026,Jad,208
XSP4,29/07/2026,Loggi,185
XVDOM1,29/07/2026,Dominalog,2
XVJAD1,29/07/2026,Jad,1
XVJAD1,29/07/2026,Loggi,1
XVLOG1,29/07/2026,Dominalog,1
XVLOG1,29/07/2026,Jad,6
XVLOG1,29/07/2026,Loggi,1
XVRD1,29/07/2026,Carvalima,1
XVSP02,29/07/2026,J&T Slow,1
XVSP04,29/07/2026,J&T Slow,2
XVSP14,29/07/2026,J&T Slow,15
XVXSP9,29/07/2026,J&T Slow,19
XVXSP9,29/07/2026,Loggi,1
ARENA,30/07/2026,J&T Fast,70
ARENA,30/07/2026,J&T Nodos,105
ARENA,30/07/2026,J&T Slow,37385
ARENA,30/07/2026,Jad,171
ARENA,30/07/2026,Loggi,444
BRAAM1,30/07/2026,Carvalima,1
BRAAM1,30/07/2026,Jad,1
BRAAM1,30/07/2026,Loggi,5
BRASP1,30/07/2026,Carvalima,2
BRASP1,30/07/2026,Jad,5
BRASP1,30/07/2026,Loggi,7
BRBA01,30/07/2026,J&T Nodos,323
BRBA02,30/07/2026,J&T Nodos,6
BRPE01,30/07/2026,PAC,17
BRPE01,30/07/2026,Sedex,1
BRPR01,30/07/2026,PAC,376
BRPR01,30/07/2026,Sedex,14
BRRC02,30/07/2026,PAC,16
BRSC02,30/07/2026,PAC,1
BRSP02,30/07/2026,J&T Fast,14
BRSP02,30/07/2026,J&T Slow,8998
BRSP04,30/07/2026,J&T Fast,15
BRSP04,30/07/2026,J&T Slow,8913
BRSP14,30/07/2026,J&T Fast,6
BRSP14,30/07/2026,J&T Slow,4456
BRSP14,30/07/2026,PAC,1
BRSP26,30/07/2026,PAC,17
BRXGO1,30/07/2026,J&T Nodos,2229
BRXSP10,30/07/2026,J&T Fast,92
BRXSP10,30/07/2026,J&T Nodos,400
BRXSP10,30/07/2026,J&T Slow,20877
BRXSP10,30/07/2026,Loggi,291
BRXSP14,30/07/2026,Jad,1
BRXSP17,30/07/2026,Dominalog,1
BRXSP23,30/07/2026,J&T Nodos,1
BRXSP23,30/07/2026,J&T Slow,11252
BRXSP5,30/07/2026,J&T Fast,56
BRXSP5,30/07/2026,J&T Nodos,66
BRXSP5,30/07/2026,J&T Slow,18579
BRXSP9,30/07/2026,Carvalima,1403
BRXSP9,30/07/2026,Dominalog,1448
BRXSP9,30/07/2026,Imile Fast,1916
BRXSP9,30/07/2026,Imile Slow,6737
BRXSP9,30/07/2026,J&T Fast,1599
BRXSP9,30/07/2026,J&T Nodos,6822
BRXSP9,30/07/2026,J&T Slow,88489
BRXSP9,30/07/2026,Jad,2099
BRXSP9,30/07/2026,Loggi,2359
CAMPINAS,30/07/2026,J&T Fast,38
CAMPINAS,30/07/2026,J&T Nodos,62
CAMPINAS,30/07/2026,J&T Slow,20692
CAMPINAS,30/07/2026,Jad,84
CAMPINAS,30/07/2026,Loggi,157
EAC1,30/07/2026,Carvalima,1
EAC1,30/07/2026,J&T Slow,2
EAL1,30/07/2026,J&T Slow,2
EAM2,30/07/2026,Carvalima,4
EAM2,30/07/2026,J&T Fast,2
EAM2,30/07/2026,J&T Slow,1
EAM3,30/07/2026,Imile Fast,2
EAM3,30/07/2026,Imile Slow,5
EAM3,30/07/2026,Jad,12
EAM3,30/07/2026,Loggi,22
EBA11,30/07/2026,J&T Fast,2
EBA11,30/07/2026,Jad,1
EBA12,30/07/2026,Jad,1
EBA14,30/07/2026,J&T Slow,5
EBA16,30/07/2026,J&T Slow,1
EBA16,30/07/2026,Jad,1
EBA19,30/07/2026,J&T Slow,2
EBA19,30/07/2026,Jad,2
ECE1,30/07/2026,J&T Fast,2
ECE1,30/07/2026,J&T Slow,3
ECE1,30/07/2026,Jad,1
ECE1,30/07/2026,Loggi,1
ECE2,30/07/2026,Jad,2
ECE3,30/07/2026,Dominalog,1
ECE4,30/07/2026,Jad,1
ECE5,30/07/2026,Jad,1
EDF7,30/07/2026,Jad,1
EES3,30/07/2026,Loggi,2
EES6,30/07/2026,J&T Slow,1
EES6,30/07/2026,Jad,1
EES6,30/07/2026,Loggi,1
EES7,30/07/2026,Jad,1
EES7,30/07/2026,Loggi,1
EGO12,30/07/2026,Jad,1
EGO6,30/07/2026,Jad,1
EJP1,30/07/2026,J&T Slow,1
EJP1,30/07/2026,Jad,1
EJP4,30/07/2026,J&T Slow,1
EJP5,30/07/2026,J&T Slow,1
EMG15,30/07/2026,J&T Slow,1
EMG16,30/07/2026,Loggi,1
EMG23,30/07/2026,J&T Slow,89
EMG34,30/07/2026,Loggi,1
EMG37,30/07/2026,J&T Slow,9
EMG38,30/07/2026,Loggi,1
EMN2,30/07/2026,Imile Slow,1
EMN3,30/07/2026,Imile Slow,1
EMN3,30/07/2026,Jad,1
EMN4,30/07/2026,Imile Fast,2
EMR1,30/07/2026,Carvalima,1
EMR1,30/07/2026,J&T Slow,3
EMR10,30/07/2026,Carvalima,1
EMR12,30/07/2026,Carvalima,1
EMR15,30/07/2026,Carvalima,3
EMR3,30/07/2026,J&T Slow,4
EMR4,30/07/2026,J&T Slow,1
EMR5,30/07/2026,Carvalima,2
EMR7,30/07/2026,J&T Slow,2
EMR8,30/07/2026,Carvalima,10
EMR8,30/07/2026,J&T Slow,1
EPA3,30/07/2026,Carvalima,2
EPA4,30/07/2026,Carvalima,2
EPA4,30/07/2026,Imile Fast,2
EPA4,30/07/2026,J&T Fast,6
EPA4,30/07/2026,J&T Slow,1
EPA6,30/07/2026,Loggi,1
EPA7,30/07/2026,Imile Fast,1
EPA9,30/07/2026,Imile Fast,1
EPE1,30/07/2026,J&T Fast,2
EPE1,30/07/2026,J&T Slow,1
EPE1,30/07/2026,Jad,4
EPE2,30/07/2026,J&T Fast,1
EPE2,30/07/2026,J&T Slow,1
EPE3,30/07/2026,Jad,1
EPE4,30/07/2026,J&T Slow,1
EPE4,30/07/2026,Jad,1
EPE4,30/07/2026,Loggi,1
EPE5,30/07/2026,J&T Fast,1
EPI3,30/07/2026,J&T Slow,1
EPI5,30/07/2026,Jad,2
EPI6,30/07/2026,J&T Fast,1
EPI6,30/07/2026,J&T Slow,1
EPI6,30/07/2026,Jad,1
EPR13,30/07/2026,Loggi,1
EPR4,30/07/2026,Loggi,1
EPR7,30/07/2026,J&T Slow,1
ERJ2,30/07/2026,Jad,1
ERJ2,30/07/2026,Loggi,1
ERJ5,30/07/2026,Loggi,1
ERN1,30/07/2026,Jad,1
ERS13,30/07/2026,Loggi,1
ERS2,30/07/2026,Loggi,1
ESC2,30/07/2026,Loggi,2
ESC6,30/07/2026,J&T Slow,2
ETO7,30/07/2026,J&T Slow,1
SAL1,30/07/2026,J&T Slow,4
SAM1,30/07/2026,Imile Fast,66
SAM1,30/07/2026,J&T Fast,1
SAM1,30/07/2026,Jad,9
SAM1,30/07/2026,Loggi,8
SBA2,30/07/2026,J&T Fast,2
SBA2,30/07/2026,J&T Slow,3
SBA2,30/07/2026,Jad,2
SBA4,30/07/2026,Jad,3
SBA4,30/07/2026,Loggi,3
SCE1,30/07/2026,Dominalog,2
SCE1,30/07/2026,Jad,2
SCE1,30/07/2026,Loggi,1
SCE2,30/07/2026,Jad,1
SCE2,30/07/2026,Loggi,4
SDF1,30/07/2026,J&T Nodos,1
SDF1,30/07/2026,Jad,1
SDF2,30/07/2026,J&T Slow,1
SES3,30/07/2026,J&T Slow,1
SFN1,30/07/2026,J&T Slow,6
SFN1,30/07/2026,Jad,4
SJP1,30/07/2026,J&T Slow,1
SMG1,30/07/2026,Jad,1
SMG1,30/07/2026,Loggi,3
SMG12,30/07/2026,Jad,1
SMG13,30/07/2026,Loggi,1
SMG15,30/07/2026,J&T Slow,29
SMG2,30/07/2026,Loggi,1
SMG4,30/07/2026,Loggi,1
SMR1,30/07/2026,Carvalima,1
SMR2,30/07/2026,Carvalima,2
SMR2,30/07/2026,J&T Slow,1
SMS1,30/07/2026,Loggi,1
SPA1,30/07/2026,Imile Fast,7
SPA1,30/07/2026,J&T Fast,1
SPA1,30/07/2026,Loggi,3
SPI1,30/07/2026,Imile Fast,1
SPI1,30/07/2026,Imile Slow,1
SPR1,30/07/2026,Loggi,5
SPR10,30/07/2026,Jad,1
SPR10,30/07/2026,Loggi,3
SPR11,30/07/2026,Dominalog,1
SPR11,30/07/2026,Jad,1
SPR11,30/07/2026,Loggi,1
SPR5,30/07/2026,Jad,1
SPR7,30/07/2026,Jad,1
SPR8,30/07/2026,Dominalog,1
SRD1,30/07/2026,Imile Fast,1
SRJ4,30/07/2026,J&T Slow,1
SRJ5,30/07/2026,J&T Slow,1
SRJ8,30/07/2026,J&T Slow,2
SRN1,30/07/2026,Loggi,1
SRS2,30/07/2026,Loggi,2
SRS7,30/07/2026,Dominalog,1
SRS7,30/07/2026,J&T Slow,1
SRS7,30/07/2026,Jad,2
SRS7,30/07/2026,Loggi,1
SRS9,30/07/2026,Jad,1
SRS9,30/07/2026,Loggi,1
SSC8,30/07/2026,J&T Slow,1
SSE1,30/07/2026,J&T Slow,3
SSE1,30/07/2026,Jad,1
SSE1,30/07/2026,Loggi,1
SSP11,30/07/2026,Loggi,1
SSP21,30/07/2026,Loggi,1
SSP22,30/07/2026,Loggi,1
SSP23,30/07/2026,Jad,1
SSP23,30/07/2026,Loggi,1
SSP29,30/07/2026,Jad,1
SSP31,30/07/2026,J&T Slow,2
SSP36,30/07/2026,J&T Slow,1
SSP37,30/07/2026,J&T Slow,1
SSP37,30/07/2026,Loggi,1
SSP4,30/07/2026,Loggi,2
SSP40,30/07/2026,Loggi,1
SSP49,30/07/2026,Loggi,1
SSP51,30/07/2026,Dominalog,1
SSP52,30/07/2026,Loggi,1
SSP9,30/07/2026,Loggi,1
XMG1,30/07/2026,J&T Fast,87
XMG1,30/07/2026,J&T Slow,11675
XSP4,30/07/2026,J&T Slow,13494
XSP4,30/07/2026,Jad,52
XSP4,30/07/2026,Loggi,124
XVCVL1,30/07/2026,Carvalima,1
XVLOG1,30/07/2026,Loggi,1
XVRD1,30/07/2026,Loggi,1
XVXSP9,30/07/2026,J&T Slow,1
ARENA,31/07/2026,J&T Fast,60
ARENA,31/07/2026,J&T Nodos,807
ARENA,31/07/2026,J&T Slow,14803
ARENA,31/07/2026,Jad,116
ARENA,31/07/2026,Loggi,355
BRASP1,31/07/2026,Loggi,4
BRBA01,31/07/2026,J&T Nodos,258
BRBA02,31/07/2026,J&T Nodos,5
BRDF01,31/07/2026,PAC,43
BRES01,31/07/2026,PAC,4
BRES01,31/07/2026,Sedex,1
BRMG01,31/07/2026,PAC,28
BRMG01,31/07/2026,Sedex,1
BRMG02,31/07/2026,PAC,26
BRRC01,31/07/2026,PAC,1
BRRC02,31/07/2026,PAC,7
BRRC03,31/07/2026,PAC,7
BRRS01,31/07/2026,PAC,9
BRSP02,31/07/2026,J&T Fast,19
BRSP02,31/07/2026,J&T Slow,4231
BRSP04,31/07/2026,J&T Fast,7
BRSP04,31/07/2026,J&T Slow,4275
BRSP04,31/07/2026,PAC,1
BRSP11,31/07/2026,PAC,10
BRSP11,31/07/2026,Sedex,32
BRSP14,31/07/2026,J&T Slow,2519
BRSP15,31/07/2026,J&T Slow,1
BRSP15,31/07/2026,PAC,1
BRSP18,31/07/2026,PAC,13
BRSP18,31/07/2026,Sedex,3
BRSP19,31/07/2026,J&T Slow,1
BRSP24,31/07/2026,PAC,5
BRXGO1,31/07/2026,J&T Nodos,1429
BRXSP10,31/07/2026,J&T Fast,72
BRXSP10,31/07/2026,J&T Nodos,470
BRXSP10,31/07/2026,J&T Slow,10888
BRXSP10,31/07/2026,Loggi,215
BRXSP23,31/07/2026,J&T Slow,6046
BRXSP5,31/07/2026,J&T Fast,45
BRXSP5,31/07/2026,J&T Nodos,38
BRXSP5,31/07/2026,J&T Slow,10963
BRXSP9,31/07/2026,Carvalima,935
BRXSP9,31/07/2026,Dominalog,1403
BRXSP9,31/07/2026,Imile Fast,786
BRXSP9,31/07/2026,Imile Slow,5221
BRXSP9,31/07/2026,J&T Fast,534
BRXSP9,31/07/2026,J&T Nodos,5473
BRXSP9,31/07/2026,J&T Slow,88368
BRXSP9,31/07/2026,Jad,1184
BRXSP9,31/07/2026,Loggi,1210
CAMPINAS,31/07/2026,J&T Fast,28
CAMPINAS,31/07/2026,J&T Nodos,109
CAMPINAS,31/07/2026,J&T Slow,6267
CAMPINAS,31/07/2026,Jad,53
CAMPINAS,31/07/2026,Loggi,177
EAM1,31/07/2026,Carvalima,18
EAM1,31/07/2026,J&T Fast,1
EAM3,31/07/2026,Imile Fast,3
EAM3,31/07/2026,Jad,1
EAM3,31/07/2026,Loggi,26
EBA11,31/07/2026,J&T Fast,1
EBA14,31/07/2026,J&T Slow,1
EBA21,31/07/2026,Jad,1
EBA27,31/07/2026,J&T Fast,1
EBA32,31/07/2026,J&T Slow,4
EBA33,31/07/2026,J&T Slow,1
EBA34,31/07/2026,J&T Slow,1
EBA4,31/07/2026,J&T Slow,1
EBA6,31/07/2026,J&T Slow,1
EBA7,31/07/2026,J&T Slow,1
EBA9,31/07/2026,J&T Slow,2
ECE1,31/07/2026,J&T Fast,1
EES3,31/07/2026,J&T Slow,2
EES3,31/07/2026,Loggi,3
EES6,31/07/2026,J&T Slow,2
EES6,31/07/2026,Jad,1
EJP1,31/07/2026,J&T Slow,1
EMG23,31/07/2026,J&T Fast,1
EMG23,31/07/2026,J&T Slow,11
EMG37,31/07/2026,J&T Slow,1
EMN1,31/07/2026,Imile Fast,1
EMN1,31/07/2026,Jad,3
EMN4,31/07/2026,Imile Fast,2
EMN4,31/07/2026,Imile Slow,1
EMR1,31/07/2026,J&T Slow,1
EMR12,31/07/2026,Carvalima,1
EMR13,31/07/2026,J&T Slow,1
EPA4,31/07/2026,J&T Fast,1
EPA5,31/07/2026,J&T Fast,1
EPA5,31/07/2026,J&T Slow,1
EPA7,31/07/2026,Imile Fast,1
EPA7,31/07/2026,Jad,4
EPE5,31/07/2026,J&T Slow,1
ERD4,31/07/2026,Carvalima,1
ERS5,31/07/2026,Loggi,1
ERS7,31/07/2026,Dominalog,1
ERS7,31/07/2026,Loggi,1
ETO4,31/07/2026,Carvalima,4
ETO4,31/07/2026,J&T Fast,3
ETO4,31/07/2026,J&T Slow,3
SAM1,31/07/2026,Imile Fast,14
SAM1,31/07/2026,J&T Fast,1
SAM1,31/07/2026,Jad,5
SBA2,31/07/2026,Loggi,1
SBA3,31/07/2026,J&T Fast,2
SCE1,31/07/2026,Loggi,1
SJP1,31/07/2026,Loggi,1
SMG15,31/07/2026,J&T Slow,4
SMG7,31/07/2026,J&T Slow,4
SMR2,31/07/2026,J&T Slow,2
SPA1,31/07/2026,J&T Slow,1
SPE1,31/07/2026,J&T Slow,2
SPI1,31/07/2026,Imile Fast,1
SPR1,31/07/2026,Loggi,2
SPR11,31/07/2026,Jad,1
SRD1,31/07/2026,Imile Fast,3
SRJ10,31/07/2026,J&T Fast,1
SRJ12,31/07/2026,J&T Slow,1
SRJ8,31/07/2026,J&T Slow,3
SRS3,31/07/2026,Jad,1
SRS9,31/07/2026,Jad,1
SSE1,31/07/2026,J&T Slow,1
SSP12,31/07/2026,Loggi,1
SSP13,31/07/2026,J&T Slow,1
SSP30,31/07/2026,J&T Slow,1
SSP36,31/07/2026,J&T Slow,10
SSP37,31/07/2026,Loggi,1
SSP49,31/07/2026,Loggi,1
SSP5,31/07/2026,Loggi,1
STO1,31/07/2026,Jad,1
STO2,31/07/2026,Jad,1
XMG1,31/07/2026,J&T Fast,48
XMG1,31/07/2026,J&T Slow,12289
XSP4,31/07/2026,J&T Slow,3059
XSP4,31/07/2026,Jad,29
XSP4,31/07/2026,Loggi,128
XVBA2,31/07/2026,J&T Nodos,1
XVCVL1,31/07/2026,Carvalima,1
XVXSP9,31/07/2026,J&T Slow,1
ARENA,01/08/2026,J&T Fast,21
ARENA,01/08/2026,J&T Nodos,418
ARENA,01/08/2026,J&T Slow,9148
ARENA,01/08/2026,Jad,75
ARENA,01/08/2026,Loggi,208
BRBA01,01/08/2026,J&T Nodos,387
BRBA02,01/08/2026,J&T Nodos,11
BRSP02,01/08/2026,J&T Fast,4
BRSP02,01/08/2026,J&T Slow,883
BRSP04,01/08/2026,J&T Fast,9
BRSP04,01/08/2026,J&T Slow,963
BRSP14,01/08/2026,J&T Fast,2
BRSP14,01/08/2026,J&T Slow,877
BRXGO1,01/08/2026,J&T Nodos,2040
BRXSP10,01/08/2026,J&T Fast,41
BRXSP10,01/08/2026,J&T Nodos,580
BRXSP10,01/08/2026,J&T Slow,5790
BRXSP10,01/08/2026,Loggi,134
BRXSP23,01/08/2026,J&T Slow,17999
BRXSP5,01/08/2026,J&T Fast,20
BRXSP5,01/08/2026,J&T Nodos,127
BRXSP5,01/08/2026,J&T Slow,10153
BRXSP9,01/08/2026,Carvalima,809
BRXSP9,01/08/2026,Dominalog,697
BRXSP9,01/08/2026,Imile Fast,435
BRXSP9,01/08/2026,Imile Slow,4187
BRXSP9,01/08/2026,J&T Fast,208
BRXSP9,01/08/2026,J&T Nodos,5825
BRXSP9,01/08/2026,J&T Slow,56400
BRXSP9,01/08/2026,Jad,979
BRXSP9,01/08/2026,Loggi,614
CAMPINAS,01/08/2026,J&T Fast,4
CAMPINAS,01/08/2026,J&T Nodos,47
CAMPINAS,01/08/2026,J&T Slow,2868
CAMPINAS,01/08/2026,Jad,32
CAMPINAS,01/08/2026,Loggi,114
EAL1,01/08/2026,J&T Slow,2
EAM1,01/08/2026,Carvalima,28
EAM1,01/08/2026,Jad,1
EAM2,01/08/2026,Carvalima,5
EAM2,01/08/2026,J&T Fast,3
EAM3,01/08/2026,Imile Slow,2
EAM3,01/08/2026,Jad,2
EAM3,01/08/2026,Loggi,5
EBA16,01/08/2026,J&T Slow,1
EBA24,01/08/2026,Jad,1
EBA32,01/08/2026,J&T Slow,1
EGO8,01/08/2026,Jad,1
EJP1,01/08/2026,Jad,1
EJP2,01/08/2026,Jad,1
EJP5,01/08/2026,Loggi,1
EMG23,01/08/2026,J&T Slow,20
EMG36,01/08/2026,J&T Slow,1
EMG37,01/08/2026,J&T Slow,4
EMR13,01/08/2026,J&T Slow,1
EPI1,01/08/2026,Jad,1
ERD2,01/08/2026,J&T Nodos,1
ERN1,01/08/2026,Jad,1
ERS9,01/08/2026,Jad,1
ETO4,01/08/2026,J&T Fast,2
SAL1,01/08/2026,J&T Slow,1
SFN1,01/08/2026,J&T Fast,1
SFN1,01/08/2026,Jad,2
SPA1,01/08/2026,Loggi,1
SRD1,01/08/2026,Carvalima,2
SSE1,01/08/2026,Loggi,1
XMG1,01/08/2026,J&T Fast,22
XMG1,01/08/2026,J&T Slow,4548
XSP4,01/08/2026,J&T Slow,1872
XSP4,01/08/2026,Jad,11
XSP4,01/08/2026,Loggi,58
XVBA2,01/08/2026,J&T Nodos,1
EAC1,02/08/2026,Carvalima,3
EES6,02/08/2026,J&T Fast,1
EPA1,02/08/2026,J&T Slow,3
EPA5,02/08/2026,J&T Fast,1
EPA9,02/08/2026,J&T Slow,2
EPI6,02/08/2026,J&T Fast,1
EPR14,02/08/2026,Loggi,1
ESC14,02/08/2026,Jad,1
SCE1,02/08/2026,J&T Slow,1
SMG7,02/08/2026,J&T Slow,1
SPA1,02/08/2026,J&T Slow,8
SSP15,02/08/2026,Loggi,1
SSP18,02/08/2026,Loggi,2
SSP20,02/08/2026,J&T Slow,13
ARENA,03/08/2026,J&T Nodos,243
BRBA01,03/08/2026,J&T Nodos,148
BRBA02,03/08/2026,J&T Nodos,3
BRRC02,03/08/2026,PAC,11
BRRC03,03/08/2026,PAC,10
BRSP04,03/08/2026,J&T Slow,1
BRSP14,03/08/2026,J&T Slow,345
BRXSP10,03/08/2026,J&T Nodos,207
BRXSP23,03/08/2026,J&T Slow,67246
BRXSP5,03/08/2026,J&T Nodos,138
BRXSP9,03/08/2026,Carvalima,395
BRXSP9,03/08/2026,Dominalog,509
BRXSP9,03/08/2026,Imile Fast,502
BRXSP9,03/08/2026,Imile Slow,1974
BRXSP9,03/08/2026,J&T Fast,250
BRXSP9,03/08/2026,J&T Nodos,7420
BRXSP9,03/08/2026,J&T Slow,39395
BRXSP9,03/08/2026,Jad,752
BRXSP9,03/08/2026,Loggi,787
CAMPINAS,03/08/2026,J&T Nodos,17
EAM1,03/08/2026,Carvalima,2
EAM2,03/08/2026,Carvalima,3
EAM2,03/08/2026,J&T Fast,4
EES3,03/08/2026,J&T Fast,3
EES3,03/08/2026,Jad,2
EES3,03/08/2026,Loggi,20
EES6,03/08/2026,J&T Fast,3
EES6,03/08/2026,J&T Slow,2
EES6,03/08/2026,Loggi,10
EMG16,03/08/2026,Jad,2
EMG16,03/08/2026,Loggi,2
EMG34,03/08/2026,J&T Slow,2
EMG34,03/08/2026,Loggi,1
EMN1,03/08/2026,Imile Fast,1
EPA1,03/08/2026,J&T Slow,4
EPA7,03/08/2026,Imile Fast,1
EPR4,03/08/2026,Jad,1
EPR4,03/08/2026,Loggi,1
ERJ2,03/08/2026,J&T Fast,1
ERJ2,03/08/2026,Loggi,1
ERJ5,03/08/2026,J&T Slow,1
ERJ5,03/08/2026,Loggi,3
ERJ6,03/08/2026,J&T Slow,35
ERJ7,03/08/2026,Jad,1
